project_geographic_district,project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure,project_type_split
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Design,09/06/2016,02/09/2017,07/24/2017,277763,178662.0,74693.0,0000839664,False,SCA
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Design,09/06/2016,02/09/2017,07/24/2017,277763,178662.0,74693.0,0000839665,False,SCA
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Design,09/06/2016,02/09/2017,07/24/2017,277763,178662.0,74693.0,0000844740,False,SCA
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Design,09/06/2016,02/09/2017,07/24/2017,277763,178662.0,74693.0,0000839662,False,CIP
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Design,09/06/2016,02/09/2017,07/24/2017,277763,178662.0,74693.0,0000839664,False,CIP
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Design,09/06/2016,02/09/2017,07/24/2017,277763,178662.0,74693.0,0000839665,False,CIP
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Design,09/06/2016,02/09/2017,07/24/2017,277763,178662.0,74693.0,0000844740,False,CIP
12,X057,P.S. 57 - BRONX,SCA IEH,IEH PO18-BOOKROOM 100,Construction,06/02/2017,IEH,07/22/2017,IEH,23855.0,3184.0,0000047106,False,SCA
12,X057,P.S. 57 - BRONX,SCA IEH,IEH PO18-BOOKROOM 100,Construction,06/02/2017,IEH,07/22/2017,IEH,23855.0,3184.0,0000047106,False,IEH
12,X061,P.S. 61 - BRONX,SCA IEH,IEH PO18-CORRIDORS FROM THE 2ND FL TO THE 5TH FL,Construction,05/31/2017,IEH,10/28/2017,IEH,63516.0,10560.0,0000047049,False,SCA
12,X061,P.S. 61 - BRONX,SCA IEH,IEH PO18-CORRIDORS FROM THE 2ND FL TO THE 5TH FL,Construction,05/31/2017,IEH,10/28/2017,IEH,63516.0,10560.0,0000047049,False,IEH
12,X061,P.S. 61 - BRONX,SCA IEH,IEH PO18-1ST FL GYM,Construction,09/15/2017,IEH,09/16/2017,IEH,14146.0,3634.0,0000048645,False,SCA
12,X061,P.S. 61 - BRONX,SCA IEH,IEH PO18-1ST FL GYM,Construction,09/15/2017,IEH,09/16/2017,IEH,14146.0,3634.0,0000048645,False,IEH
12,X066,P.S. 66 - BRONX,SCA CIP,RENEWAL SCHOOL BASED HEALTH CENTER,Scope,02/11/2016,05/11/2016,04/13/2016,26922,28126.0,28126.0,0000843909,False,SCA
12,X066,P.S. 66 - BRONX,SCA CIP,RENEWAL SCHOOL BASED HEALTH CENTER,Scope,02/11/2016,05/11/2016,04/13/2016,26922,28126.0,28126.0,0000843909,False,CIP
12,X066,P.S. 66 - BRONX,SCA CIP,RENEWAL SCHOOL BASED HEALTH CENTER,Design,04/13/2016,08/12/2016,06/27/2016,107687,120386.0,113275.0,0000843909,False,SCA
12,X066,P.S. 66 - BRONX,SCA CIP,RENEWAL SCHOOL BASED HEALTH CENTER,Design,04/13/2016,08/12/2016,06/27/2016,107687,120386.0,113275.0,0000843909,False,CIP
12,X066,P.S. 66 - BRONX,SCA CIP,RENEWAL SCHOOL BASED HEALTH CENTER,Construction,09/26/2016,07/22/2017,07/28/2017,2019134,1961042.0,1634732.0,0000843909,False,SCA
12,X066,P.S. 66 - BRONX,SCA CIP,RENEWAL SCHOOL BASED HEALTH CENTER,Construction,09/26/2016,07/22/2017,07/28/2017,2019134,1961042.0,1634732.0,0000843909,False,CIP
12,X066,P.S. 66 - BRONX,SCA CIP,RENEWAL SCHOOL BASED HEALTH CENTER,"CM, F&E",09/26/2016,07/22/2017,07/28/2017,182795,331582.0,311989.0,0000843909,False,SCA
12,X066,P.S. 66 - BRONX,SCA CIP,RENEWAL SCHOOL BASED HEALTH CENTER,"CM, F&E",09/26/2016,07/22/2017,07/28/2017,182795,331582.0,311989.0,0000843909,False,CIP
12,X066,P.S. 66 - BRONX,SCA IEH,IEH PO18-BASEMENT STUDENT CAFETERIA,Construction,08/24/2017,IEH,08/26/2017,IEH,36075.0,5114.0,0000048385,False,SCA
12,X066,P.S. 66 - BRONX,SCA IEH,IEH PO18-BASEMENT STUDENT CAFETERIA,Construction,08/24/2017,IEH,08/26/2017,IEH,36075.0,5114.0,0000048385,False,IEH
12,X077,P.S. 196 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,Scope,08/07/2015,12/24/2015,02/01/2016,135827,100016.0,84952.0,0000818106,False,SCA
12,X077,P.S. 196 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,Scope,08/07/2015,12/24/2015,02/01/2016,135827,100016.0,84952.0,0000840048,False,SCA
12,X077,P.S. 196 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,Scope,08/07/2015,12/24/2015,02/01/2016,135827,100016.0,84952.0,0000840050,False,SCA
12,X077,P.S. 196 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,Scope,08/07/2015,12/24/2015,02/01/2016,135827,100016.0,84952.0,0000840051,False,SCA
12,X077,P.S. 196 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,Scope,08/07/2015,12/24/2015,02/01/2016,135827,100016.0,84952.0,0000818106,False,CIP
12,X077,P.S. 196 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,Scope,08/07/2015,12/24/2015,02/01/2016,135827,100016.0,84952.0,0000840048,False,CIP
12,X077,P.S. 196 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,Scope,08/07/2015,12/24/2015,02/01/2016,135827,100016.0,84952.0,0000840050,False,CIP
12,X077,P.S. 196 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,Scope,08/07/2015,12/24/2015,02/01/2016,135827,100016.0,84952.0,0000840051,False,CIP
